"CubeId";"devkum"
"PublishingDate";"2019-09-02 14:30"

"Date";"D0";"D1";"Value"
"2006-09";"M1";"USD1";"1.2528"
"2006-09";"M1";"BRL100";"57.6"
"2006-09";"M1";"ZAR1";"0.162"
"2006-09";"M1";"JPY100";"1.0606"
"2006-09";"M1";"HKD100";"16.0799"
"2006-10";"M1";"EUR1";"1.5881"
"2006-10";"M1";"GBP1";"2.3784"
"2006-10";"M1";"USD1";"1.251"
"2006-10";"M1";"BRL100";"58.1"
"2006-10";"M1";"ZAR1";"0.1647"
"2006-10";"M1";"JPY100";"1.0628"
"2006-10";"M1";"HKD100";"16.0847"
"2006-11";"M1";"EUR1";"1.5917"
"2006-11";"M1";"GBP1";"2.3586"
"2006-11";"M1";"USD1";"1.2061"
"2006-11";"M1";"BRL100";"55.7"
"2006-11";"M1";"ZAR1";"0.1687"
"2006-11";"M1";"JPY100";"1.0379"
"2006-11";"M1";"HKD100";"15.5095"
"2006-12";"M1";"EUR1";"1.6059"
"2006-12";"M1";"GBP1";"2.3918"
"2006-12";"M1";"USD1";"1.2192"
"2006-12";"M1";"BRL100";"57.1"
"2006-12";"M1";"ZAR1";"0.1741"
"2006-12";"M1";"JPY100";"1.0251"
"2006-12";"M1";"HKD100";"15.677"
"2007-01";"M1";"EUR1";"1.6242"
"2007-01";"M1";"GBP1";"2.4523"
"2007-01";"M1";"USD1";"1.2557"
"2007-01";"M1";"BRL100";"58.9"
"2007-01";"M1";"ZAR1";"0.1715"
"2007-01";"M1";"JPY100";"1.0343"
"2007-01";"M1";"HKD100";"16.0839"
"2007-02";"M1";"EUR1";"1.6128"
"2007-02";"M1";"GBP1";"2.3889"
"2007-02";"M1";"USD1";"1.2222"
"2007-02";"M1";"BRL100";"56.9"
"2007-02";"M1";"ZAR1";"0.1689"
